index,time,lat,lon,tempanomaly
185,2023-03-15,-87.00,-169.00,1.35
186,2023-03-15,-87.00,-167.00,1.35
187,2023-03-15,-87.00,-165.00,1.35
188,2023-03-15,-87.00,-163.00,1.35
189,2023-03-15,-87.00,-161.00,1.35
190,2023-03-15,-87.00,-159.00,1.35
191,2023-03-15,-87.00,-157.00,1.35
192,2023-03-15,-87.00,-155.00,1.35
193,2023-03-15,-87.00,-153.00,1.35
194,2023-03-15,-87.00,-151.00,1.35
195,2023-03-15,-87.00,-149.00,1.35
196,2023-03-15,-87.00,-147.00,1.35
197,2023-03-15,-87.00,-145.00,1.35
198,2023-03-15,-87.00,-143.00,1.35
199,2023-03-15,-87.00,-141.00,1.35
200,2023-03-15,-87.00,-139.00,1.35
201,2023-03-15,-87.00,-137.00,1.35
202,2023-03-15,-87.00,-135.00,1.35
203,2023-03-15,-87.00,-133.00,1.35
204,2023-03-15,-87.00,-131.00,1.35
205,2023-03-15,-87.00,-129.00,1.35
206,2023-03-15,-87.00,-127.00,1.35
207,2023-03-15,-87.00,-125.00,1.35
208,2023-03-15,-87.00,-123.00,1.35
209,2023-03-15,-87.00,-121.00,1.35
210,2023-03-15,-87.00,-119.00,1.35
211,2023-03-15,-87.00,-117.00,1.35
212,2023-03-15,-87.00,-115.00,1.35
213,2023-03-15,-87.00,-113.00,1.35
214,2023-03-15,-87.00,-111.00,1.35
215,2023-03-15,-87.00,-109.00,1.35
216,2023-03-15,-87.00,-107.00,1.35
217,2023-03-15,-87.00,-105.00,1.35
218,2023-03-15,-87.00,-103.00,1.35
219,2023-03-15,-87.00,-101.00,1.35
220,2023-03-15,-87.00,-99.00,1.35
221,2023-03-15,-87.00,-97.00,1.35
222,2023-03-15,-87.00,-95.00,1.35
223,2023-03-15,-87.00,-93.00,1.35
224,2023-03-15,-87.00,-91.00,1.35
225,2023-03-15,-87.00,-89.00,1.35
226,2023-03-15,-87.00,-87.00,1.35
227,2023-03-15,-87.00,-85.00,1.35
228,2023-03-15,-87.00,-83.00,1.35
229,2023-03-15,-87.00,-81.00,1.35
230,2023-03-15,-87.00,-79.00,1.35
231,2023-03-15,-87.00,-77.00,1.35
232,2023-03-15,-87.00,-75.00,1.35
233,2023-03-15,-87.00,-73.00,1.35
234,2023-03-15,-87.00,-71.00,1.35
235,2023-03-15,-87.00,-69.00,1.35
236,2023-03-15,-87.00,-67.00,1.35
237,2023-03-15,-87.00,-65.00,1.35
238,2023-03-15,-87.00,-63.00,1.35
239,2023-03-15,-87.00,-61.00,1.35
240,2023-03-15,-87.00,-59.00,1.35
241,2023-03-15,-87.00,-57.00,1.35
242,2023-03-15,-87.00,-55.00,1.35
243,2023-03-15,-87.00,-53.00,1.35
244,2023-03-15,-87.00,-51.00,1.35
245,2023-03-15,-87.00,-49.00,1.35
246,2023-03-15,-87.00,-47.00,1.35
247,2023-03-15,-87.00,-45.00,1.35
248,2023-03-15,-87.00,-43.00,1.35
249,2023-03-15,-87.00,-41.00,1.35
250,2023-03-15,-87.00,-39.00,1.35
251,2023-03-15,-87.00,-37.00,1.35
252,2023-03-15,-87.00,-35.00,1.35
253,2023-03-15,-87.00,-33.00,1.35
254,2023-03-15,-87.00,-31.00,1.35
255,2023-03-15,-87.00,-29.00,1.35
256,2023-03-15,-87.00,-27.00,1.35
257,2023-03-15,-87.00,-25.00,1.35
258,2023-03-15,-87.00,-23.00,1.35
259,2023-03-15,-87.00,-21.00,1.35
260,2023-03-15,-87.00,-19.00,1.35
261,2023-03-15,-87.00,-17.00,1.35
262,2023-03-15,-87.00,-15.00,1.35
263,2023-03-15,-87.00,-13.00,1.35
264,2023-03-15,-87.00,-11.00,1.35
265,2023-03-15,-87.00,-9.00,1.35
266,2023-03-15,-87.00,-7.00,1.35
267,2023-03-15,-87.00,-5.00,1.35
268,2023-03-15,-87.00,-3.00,1.35
269,2023-03-15,-87.00,-1.00,1.35
270,2023-03-15,-87.00,1.00,1.35
271,2023-03-15,-87.00,3.00,1.35
272,2023-03-15,-87.00,5.00,1.35
273,2023-03-15,-87.00,7.00,1.35
274,2023-03-15,-87.00,9.00,1.35
275,2023-03-15,-87.00,11.00,1.35
276,2023-03-15,-87.00,13.00,1.35
277,2023-03-15,-87.00,15.00,1.35
278,2023-03-15,-87.00,17.00,1.35
279,2023-03-15,-87.00,19.00,1.35
280,2023-03-15,-87.00,21.00,1.35
281,2023-03-15,-87.00,23.00,1.35
282,2023-03-15,-87.00,25.00,1.35
283,2023-03-15,-87.00,27.00,1.35
284,2023-03-15,-87.00,29.00,1.35
285,2023-03-15,-87.00,31.00,1.35
286,2023-03-15,-87.00,33.00,1.35
287,2023-03-15,-87.00,35.00,1.35
288,2023-03-15,-87.00,37.00,1.35
289,2023-03-15,-87.00,39.00,1.35
290,2023-03-15,-87.00,41.00,1.35
291,2023-03-15,-87.00,43.00,1.35
292,2023-03-15,-87.00,45.00,1.35
293,2023-03-15,-87.00,47.00,1.35
294,2023-03-15,-87.00,49.00,1.35
295,2023-03-15,-87.00,51.00,1.35
296,2023-03-15,-87.00,53.00,1.35
297,2023-03-15,-87.00,55.00,1.35
298,2023-03-15,-87.00,57.00,1.35
299,2023-03-15,-87.00,59.00,1.35
300,2023-03-15,-87.00,61.00,1.35
301,2023-03-15,-87.00,63.00,1.35
302,2023-03-15,-87.00,65.00,1.35
303,2023-03-15,-87.00,67.00,1.35
304,2023-03-15,-87.00,69.00,1.35
305,2023-03-15,-87.00,71.00,1.35
306,2023-03-15,-87.00,73.00,1.35
307,2023-03-15,-87.00,75.00,1.35
308,2023-03-15,-87.00,77.00,1.35
309,2023-03-15,-87.00,79.00,1.35
310,2023-03-15,-87.00,81.00,1.35
311,2023-03-15,-87.00,83.00,1.35
312,2023-03-15,-87.00,85.00,1.35
313,2023-03-15,-87.00,87.00,1.35
314,2023-03-15,-87.00,89.00,1.35
315,2023-03-15,-87.00,91.00,1.35
316,2023-03-15,-87.00,93.00,1.35
317,2023-03-15,-87.00,95.00,1.35
318,2023-03-15,-87.00,97.00,1.35
319,2023-03-15,-87.00,99.00,1.35
320,2023-03-15,-87.00,101.00,1.35
321,2023-03-15,-87.00,103.00,1.35
322,2023-03-15,-87.00,105.00,1.35
323,2023-03-15,-87.00,107.00,1.35
324,2023-03-15,-87.00,109.00,1.35
325,2023-03-15,-87.00,111.00,1.35
326,2023-03-15,-87.00,113.00,1.35
327,2023-03-15,-87.00,115.00,1.35
328,2023-03-15,-87.00,117.00,1.35
329,2023-03-15,-87.00,119.00,1.35
330,2023-03-15,-87.00,121.00,1.35
331,2023-03-15,-87.00,123.00,1.35
332,2023-03-15,-87.00,125.00,1.35
333,2023-03-15,-87.00,127.00,1.35
334,2023-03-15,-87.00,129.00,1.35
335,2023-03-15,-87.00,131.00,1.35
336,2023-03-15,-87.00,133.00,1.35
337,2023-03-15,-87.00,135.00,1.35
338,2023-03-15,-87.00,137.00,1.35
339,2023-03-15,-87.00,139.00,1.35
340,2023-03-15,-87.00,141.00,1.35
341,2023-03-15,-87.00,143.00,1.35
342,2023-03-15,-87.00,145.00,1.35
343,2023-03-15,-87.00,147.00,1.35
344,2023-03-15,-87.00,149.00,1.35
345,2023-03-15,-87.00,151.00,1.35
346,2023-03-15,-87.00,153.00,1.35
347,2023-03-15,-87.00,155.00,1.35
348,2023-03-15,-87.00,157.00,1.35
349,2023-03-15,-87.00,159.00,1.35
350,2023-03-15,-87.00,161.00,1.35
351,2023-03-15,-87.00,163.00,1.35
352,2023-03-15,-87.00,165.00,1.35
353,2023-03-15,-87.00,167.00,1.35
354,2023-03-15,-87.00,169.00,1.35
355,2023-03-15,-87.00,171.00,1.35
356,2023-03-15,-87.00,173.00,1.35
357,2023-03-15,-87.00,175.00,1.35
358,2023-03-15,-87.00,177.00,1.35
359,2023-03-15,-87.00,179.00,1.35
360,2023-03-15,-85.00,-179.00,1.35
361,2023-03-15,-85.00,-177.00,1.35
362,2023-03-15,-85.00,-175.00,1.35
