year,area,period,anomaly
1903,SH,Jan,-0.24
1904,SH,Jan,-0.51
1905,SH,Jan,-0.27
1906,SH,Jan,0.02
1907,SH,Jan,-0.27
1908,SH,Jan,-0.34
1909,SH,Jan,-0.5
1910,SH,Jan,-0.49
1911,SH,Jan,-0.52
1912,SH,Jan,-0.14
1913,SH,Jan,-0.24
1914,SH,Jan,-0.07
1915,SH,Jan,-0.13
1916,SH,Jan,-0.15
1917,SH,Jan,-0.63
1918,SH,Jan,-0.27
1919,SH,Jan,0.0
1920,SH,Jan,-0.33
1921,SH,Jan,-0.28
1922,SH,Jan,-0.27
1923,SH,Jan,-0.37
1924,SH,Jan,-0.16
1925,SH,Jan,-0.5
1926,SH,Jan,-0.11
1927,SH,Jan,-0.25
1928,SH,Jan,-0.29
1929,SH,Jan,-0.33
1930,SH,Jan,-0.46
1931,SH,Jan,-0.18
1932,SH,Jan,-0.08
1933,SH,Jan,-0.26
1934,SH,Jan,-0.29
1935,SH,Jan,-0.26
1936,SH,Jan,-0.25
1937,SH,Jan,-0.23
1938,SH,Jan,-0.18
1939,SH,Jan,-0.14
1940,SH,Jan,0.12
1941,SH,Jan,0.21
1942,SH,Jan,0.19
1943,SH,Jan,0.07
1944,SH,Jan,0.08
1945,SH,Jan,0.1
1946,SH,Jan,-0.03
1947,SH,Jan,-0.07
1948,SH,Jan,-0.17
1949,SH,Jan,-0.1
1950,SH,Jan,-0.23
1951,SH,Jan,-0.33
1952,SH,Jan,0.07
1953,SH,Jan,-0.08
1954,SH,Jan,-0.23
1955,SH,Jan,-0.17
1956,SH,Jan,-0.22
1957,SH,Jan,-0.04
1958,SH,Jan,0.09
1959,SH,Jan,-0.08
1960,SH,Jan,-0.16
1961,SH,Jan,-0.03
1962,SH,Jan,-0.17
1963,SH,Jan,-0.14
1964,SH,Jan,-0.13
1965,SH,Jan,-0.14
1966,SH,Jan,-0.13
1967,SH,Jan,0.03
1968,SH,Jan,-0.24
1969,SH,Jan,0.22
1970,SH,Jan,0.2
1971,SH,Jan,0.09
1972,SH,Jan,0.1
1973,SH,Jan,0.43
1974,SH,Jan,0.05
1975,SH,Jan,0.03
1976,SH,Jan,-0.12
1977,SH,Jan,0.53
1978,SH,Jan,-0.03
1979,SH,Jan,0.22
1980,SH,Jan,0.39
1981,SH,Jan,0.25
1982,SH,Jan,0.24
1983,SH,Jan,0.51
1984,SH,Jan,0.28
1985,SH,Jan,0.37
1986,SH,Jan,0.16
1987,SH,Jan,0.39
1988,SH,Jan,0.54
1989,SH,Jan,0.16
1990,SH,Jan,0.35
1991,SH,Jan,0.26
1992,SH,Jan,0.34
1993,SH,Jan,0.3
1994,SH,Jan,0.19
1995,SH,Jan,0.29
1996,SH,Jan,0.22
1997,SH,Jan,0.25
1998,SH,Jan,0.55
1999,SH,Jan,0.37
2000,SH,Jan,0.11
2001,SH,Jan,0.34
2002,SH,Jan,0.52
2003,SH,Jan,0.57
2004,SH,Jan,0.49
2005,SH,Jan,0.54
2006,SH,Jan,0.46
2007,SH,Jan,0.57
2008,SH,Jan,0.26
2009,SH,Jan,0.46
2010,SH,Jan,0.69
2011,SH,Jan,0.42
2012,SH,Jan,0.29
2013,SH,Jan,0.56
2014,SH,Jan,0.54
2015,SH,Jan,0.52
2016,SH,Jan,0.79
2017,SH,Jan,0.65
2018,SH,Jan,0.48
2019,SH,Jan,0.66
2020,SH,Jan,0.75
2021,SH,Jan,0.36
2022,SH,Jan,0.57
2023,SH,Jan,0.44
1880,GLB,Feb,-0.24
1881,GLB,Feb,-0.14
1882,GLB,Feb,0.14
1883,GLB,Feb,-0.36
1884,GLB,Feb,-0.08
1885,GLB,Feb,-0.33
1886,GLB,Feb,-0.51
1887,GLB,Feb,-0.56
1888,GLB,Feb,-0.35
1889,GLB,Feb,0.17
1890,GLB,Feb,-0.44
1891,GLB,Feb,-0.47
1892,GLB,Feb,-0.11
1893,GLB,Feb,-0.56
1894,GLB,Feb,-0.28
1895,GLB,Feb,-0.42
1896,GLB,Feb,-0.12
1897,GLB,Feb,-0.16
1898,GLB,Feb,-0.3
1899,GLB,Feb,-0.38
1900,GLB,Feb,-0.05
1901,GLB,Feb,-0.1
1902,GLB,Feb,-0.05
1903,GLB,Feb,-0.05
1904,GLB,Feb,-0.57
1905,GLB,Feb,-0.58
1906,GLB,Feb,-0.29
1907,GLB,Feb,-0.51
1908,GLB,Feb,-0.32
1909,GLB,Feb,-0.46
1910,GLB,Feb,-0.41
1911,GLB,Feb,-0.57
1912,GLB,Feb,-0.14
1913,GLB,Feb,-0.45
1914,GLB,Feb,-0.09
1915,GLB,Feb,-0.04
1916,GLB,Feb,-0.14
1917,GLB,Feb,-0.63
1918,GLB,Feb,-0.34
1919,GLB,Feb,-0.24
1920,GLB,Feb,-0.26
1921,GLB,Feb,-0.17
1922,GLB,Feb,-0.44
1923,GLB,Feb,-0.39
1924,GLB,Feb,-0.23
1925,GLB,Feb,-0.4
1926,GLB,Feb,0.03
1927,GLB,Feb,-0.18
1928,GLB,Feb,-0.09
1929,GLB,Feb,-0.58
1930,GLB,Feb,-0.26
1931,GLB,Feb,-0.21
1932,GLB,Feb,-0.16
1933,GLB,Feb,-0.29
1934,GLB,Feb,-0.02
1935,GLB,Feb,0.14
1936,GLB,Feb,-0.37
1937,GLB,Feb,0.03
1938,GLB,Feb,0.04
1939,GLB,Feb,-0.06
1940,GLB,Feb,0.08
1941,GLB,Feb,0.31
1942,GLB,Feb,0.03
1943,GLB,Feb,0.18
1944,GLB,Feb,0.25
1945,GLB,Feb,0.01
1946,GLB,Feb,0.03
1947,GLB,Feb,-0.08
1948,GLB,Feb,-0.14
1949,GLB,Feb,-0.14
1950,GLB,Feb,-0.27
1951,GLB,Feb,-0.41
1952,GLB,Feb,0.12
1953,GLB,Feb,0.15
1954,GLB,Feb,-0.1
1955,GLB,Feb,-0.16
1956,GLB,Feb,-0.24
1957,GLB,Feb,-0.03
1958,GLB,Feb,0.22
1959,GLB,Feb,0.07
1960,GLB,Feb,0.13
1961,GLB,Feb,0.19
1962,GLB,Feb,0.15
1963,GLB,Feb,0.18
1964,GLB,Feb,-0.1
1965,GLB,Feb,-0.17
1966,GLB,Feb,-0.04
1967,GLB,Feb,-0.21
1968,GLB,Feb,-0.14
1969,GLB,Feb,-0.18
1970,GLB,Feb,0.22
1971,GLB,Feb,-0.16
1972,GLB,Feb,-0.18
1973,GLB,Feb,0.32
1974,GLB,Feb,-0.27
1975,GLB,Feb,0.08
1976,GLB,Feb,-0.06
1977,GLB,Feb,0.23
1978,GLB,Feb,0.1
1979,GLB,Feb,-0.1
1980,GLB,Feb,0.39
1981,GLB,Feb,0.42
1982,GLB,Feb,0.15
1983,GLB,Feb,0.43
1984,GLB,Feb,0.14
1985,GLB,Feb,-0.04
1986,GLB,Feb,0.37
1987,GLB,Feb,0.43
1988,GLB,Feb,0.44
1989,GLB,Feb,0.3
1990,GLB,Feb,0.44
1991,GLB,Feb,0.49
1992,GLB,Feb,0.4
1993,GLB,Feb,0.37
1994,GLB,Feb,0.02
1995,GLB,Feb,0.79
1996,GLB,Feb,0.46
1997,GLB,Feb,0.4
1998,GLB,Feb,0.88
1999,GLB,Feb,0.64
2000,GLB,Feb,0.56
2001,GLB,Feb,0.44
2002,GLB,Feb,0.78
2003,GLB,Feb,0.58
2004,GLB,Feb,0.72
2005,GLB,Feb,0.6
2006,GLB,Feb,0.73
2007,GLB,Feb,0.7
2008,GLB,Feb,0.38
2009,GLB,Feb,0.53
2010,GLB,Feb,0.83
2011,GLB,Feb,0.48
2012,GLB,Feb,0.49
2013,GLB,Feb,0.62
2014,GLB,Feb,0.55
2015,GLB,Feb,0.9
2016,GLB,Feb,1.37
2017,GLB,Feb,1.13
2018,GLB,Feb,0.84
2019,GLB,Feb,0.95
2020,GLB,Feb,1.24
2021,GLB,Feb,0.64
2022,GLB,Feb,0.89
2023,GLB,Feb,0.97
1880,NH,Feb,-0.51
1881,NH,Feb,-0.23
1882,NH,Feb,0.21
1883,NH,Feb,-0.67
1884,NH,Feb,-0.11
1885,NH,Feb,-0.46
1886,NH,Feb,-0.84
1887,NH,Feb,-0.7
1888,NH,Feb,-0.61
1889,NH,Feb,0.29
1890,NH,Feb,-0.58
1891,NH,Feb,-0.69
1892,NH,Feb,-0.17
1893,NH,Feb,-0.97
1894,NH,Feb,-0.41
1895,NH,Feb,-0.8
1896,NH,Feb,-0.18
1897,NH,Feb,-0.41
1898,NH,Feb,-0.44
1899,NH,Feb,-0.64
1900,NH,Feb,-0.14
1901,NH,Feb,-0.09
1902,NH,Feb,0.03
1903,NH,Feb,0.13
1904,NH,Feb,-0.59
1905,NH,Feb,-0.81
1906,NH,Feb,-0.53
1907,NH,Feb,-0.73
1908,NH,Feb,-0.28
1909,NH,Feb,-0.46
1910,NH,Feb,-0.37
1911,NH,Feb,-0.58
1912,NH,Feb,-0.17
1913,NH,Feb,-0.64
1914,NH,Feb,-0.11
1915,NH,Feb,-0.1
1916,NH,Feb,-0.16
1917,NH,Feb,-0.69
1918,NH,Feb,-0.46
1919,NH,Feb,-0.41
1920,NH,Feb,-0.29
1921,NH,Feb,-0.09
1922,NH,Feb,-0.62
1923,NH,Feb,-0.46
1924,NH,Feb,-0.21
1925,NH,Feb,-0.38
1926,NH,Feb,0.19
1927,NH,Feb,-0.08
1928,NH,Feb,0.09
1929,NH,Feb,-0.79
1930,NH,Feb,-0.19
1931,NH,Feb,-0.23
1932,NH,Feb,-0.18
1933,NH,Feb,-0.3
1934,NH,Feb,0.33
1935,NH,Feb,0.57
1936,NH,Feb,-0.5
1937,NH,Feb,0.24
1938,NH,Feb,0.28
1939,NH,Feb,-0.01
1940,NH,Feb,0.14
1941,NH,Feb,0.47
1942,NH,Feb,-0.08
1943,NH,Feb,0.38
1944,NH,Feb,0.44
1945,NH,Feb,-0.06
1946,NH,Feb,0.1
1947,NH,Feb,-0.03
1948,NH,Feb,-0.14
1949,NH,Feb,-0.09
1950,NH,Feb,-0.27
1951,NH,Feb,-0.51
1952,NH,Feb,0.17
1953,NH,Feb,0.38
1954,NH,Feb,0.0
1955,NH,Feb,-0.12
1956,NH,Feb,-0.32
1957,NH,Feb,-0.06
1958,NH,Feb,0.28
1959,NH,Feb,0.16
1960,NH,Feb,0.42
1961,NH,Feb,0.29
1962,NH,Feb,0.36
1963,NH,Feb,0.5
1964,NH,Feb,-0.02
1965,NH,Feb,-0.37
1966,NH,Feb,0.03
1967,NH,Feb,-0.37
1968,NH,Feb,-0.16
1969,NH,Feb,-0.46
1970,NH,Feb,0.27
1971,NH,Feb,-0.21
1972,NH,Feb,-0.52
1973,NH,Feb,0.44
1974,NH,Feb,-0.35
1975,NH,Feb,0.09
1976,NH,Feb,-0.12
1977,NH,Feb,0.11
1978,NH,Feb,0.04
1979,NH,Feb,-0.36
1980,NH,Feb,0.4
1981,NH,Feb,0.62
1982,NH,Feb,0.16
1983,NH,Feb,0.34
1984,NH,Feb,0.02
1985,NH,Feb,-0.29
1986,NH,Feb,0.31
1987,NH,Feb,0.5
1988,NH,Feb,0.46
1989,NH,Feb,0.39
1990,NH,Feb,0.54
1991,NH,Feb,0.56
1992,NH,Feb,0.49
1993,NH,Feb,0.52
1994,NH,Feb,-0.05
1995,NH,Feb,1.19
1996,NH,Feb,0.54
