year,area,period,anomaly
1905,NH,May,-0.29
1906,NH,May,-0.25
1907,NH,May,-0.58
1908,NH,May,-0.3
1909,NH,May,-0.5
1910,NH,May,-0.29
1911,NH,May,-0.45
1912,NH,May,-0.12
1913,NH,May,-0.54
1914,NH,May,-0.19
1915,NH,May,-0.02
1916,NH,May,-0.36
1917,NH,May,-0.73
1918,NH,May,-0.49
1919,NH,May,-0.42
1920,NH,May,-0.21
1921,NH,May,-0.24
1922,NH,May,-0.19
1923,NH,May,-0.39
1924,NH,May,-0.06
1925,NH,May,-0.22
1926,NH,May,-0.23
1927,NH,May,-0.13
1928,NH,May,-0.17
1929,NH,May,-0.27
1930,NH,May,-0.19
1931,NH,May,-0.13
1932,NH,May,-0.09
1933,NH,May,-0.26
1934,NH,May,0.08
1935,NH,May,-0.29
1936,NH,May,0.0
1937,NH,May,0.12
1938,NH,May,0.03
1939,NH,May,0.01
1940,NH,May,0.16
1941,NH,May,0.23
1942,NH,May,0.16
1943,NH,May,0.23
1944,NH,May,0.23
1945,NH,May,0.08
1946,NH,May,0.03
1947,NH,May,0.07
1948,NH,May,0.17
1949,NH,May,0.01
1950,NH,May,-0.04
1951,NH,May,0.17
1952,NH,May,0.15
1953,NH,May,0.25
1954,NH,May,-0.07
1955,NH,May,-0.13
1956,NH,May,-0.3
1957,NH,May,-0.05
1958,NH,May,0.12
1959,NH,May,0.04
1960,NH,May,0.03
1961,NH,May,0.07
1962,NH,May,0.02
1963,NH,May,-0.04
1964,NH,May,-0.1
1965,NH,May,-0.14
1966,NH,May,-0.05
1967,NH,May,0.21
1968,NH,May,-0.06
1969,NH,May,0.11
1970,NH,May,0.0
1971,NH,May,-0.12
1972,NH,May,-0.15
1973,NH,May,0.09
1974,NH,May,-0.19
1975,NH,May,-0.02
1976,NH,May,-0.26
1977,NH,May,0.23
1978,NH,May,-0.06
1979,NH,May,0.01
1980,NH,May,0.25
1981,NH,May,0.18
1982,NH,May,0.09
1983,NH,May,0.05
1984,NH,May,0.23
1985,NH,May,0.09
1986,NH,May,0.19
1987,NH,May,0.23
1988,NH,May,0.43
1989,NH,May,0.22
1990,NH,May,0.5
1991,NH,May,0.33
1992,NH,May,0.19
1993,NH,May,0.32
1994,NH,May,0.38
1995,NH,May,0.41
1996,NH,May,0.35
1997,NH,May,0.42
1998,NH,May,0.66
1999,NH,May,0.36
2000,NH,May,0.54
2001,NH,May,0.69
2002,NH,May,0.52
2003,NH,May,0.72
2004,NH,May,0.52
2005,NH,May,0.78
2006,NH,May,0.76
2007,NH,May,0.72
2008,NH,May,0.6
2009,NH,May,0.66
2010,NH,May,0.94
2011,NH,May,0.66
2012,NH,May,0.97
2013,NH,May,0.78
2014,NH,May,0.89
2015,NH,May,1.04
2016,NH,May,1.11
2017,NH,May,0.92
2018,NH,May,1.01
2019,NH,May,0.98
2020,NH,May,1.28
2021,NH,May,1.03
2022,NH,May,1.01
2023,NH,May,NULL
1880,SH,May,-0.12
1881,SH,May,0.09
1882,SH,May,-0.04
1883,SH,May,-0.09
1884,SH,May,-0.31
1885,SH,May,-0.32
1886,SH,May,-0.15
1887,SH,May,-0.34
1888,SH,May,-0.28
1889,SH,May,0.02
1890,SH,May,-0.43
1891,SH,May,-0.17
1892,SH,May,-0.23
1893,SH,May,-0.24
1894,SH,May,-0.34
1895,SH,May,-0.23
1896,SH,May,-0.14
1897,SH,May,-0.15
1898,SH,May,-0.33
1899,SH,May,-0.21
1900,SH,May,-0.13
1901,SH,May,-0.18
1902,SH,May,-0.24
1903,SH,May,-0.36
1904,SH,May,-0.59
1905,SH,May,-0.28
1906,SH,May,-0.26
1907,SH,May,-0.33
1908,SH,May,-0.45
1909,SH,May,-0.59
1910,SH,May,-0.38
1911,SH,May,-0.57
1912,SH,May,-0.28
1913,SH,May,-0.32
1914,SH,May,-0.22
1915,SH,May,-0.09
1916,SH,May,-0.33
1917,SH,May,-0.38
1918,SH,May,-0.37
1919,SH,May,-0.13
1920,SH,May,-0.32
1921,SH,May,-0.35
1922,SH,May,-0.47
1923,SH,May,-0.28
1924,SH,May,-0.29
1925,SH,May,-0.36
1926,SH,May,-0.22
1927,SH,May,-0.37
1928,SH,May,-0.41
1929,SH,May,-0.48
1930,SH,May,-0.28
1931,SH,May,-0.22
1932,SH,May,-0.23
1933,SH,May,-0.31
1934,SH,May,-0.26
1935,SH,May,-0.28
1936,SH,May,-0.3
1937,SH,May,-0.22
1938,SH,May,-0.22
1939,SH,May,-0.09
1940,SH,May,0.07
1941,SH,May,0.14
1942,SH,May,0.06
1943,SH,May,-0.1
1944,SH,May,0.15
1945,SH,May,0.05
1946,SH,May,-0.16
1947,SH,May,-0.09
1948,SH,May,-0.17
1949,SH,May,-0.2
1950,SH,May,-0.19
1951,SH,May,-0.18
1952,SH,May,-0.19
1953,SH,May,-0.01
1954,SH,May,-0.33
1955,SH,May,-0.29
1956,SH,May,-0.29
1957,SH,May,0.23
1958,SH,May,0.0
1959,SH,May,0.05
1960,SH,May,-0.19
1961,SH,May,0.17
1962,SH,May,-0.15
1963,SH,May,-0.07
1964,SH,May,-0.4
1965,SH,May,-0.1
1966,SH,May,-0.19
1967,SH,May,0.04
1968,SH,May,-0.23
1969,SH,May,0.26
1970,SH,May,-0.06
1971,SH,May,0.01
1972,SH,May,0.09
1973,SH,May,0.36
1974,SH,May,0.11
1975,SH,May,0.32
1976,SH,May,-0.16
1977,SH,May,0.42
1978,SH,May,0.24
1979,SH,May,0.07
1980,SH,May,0.45
1981,SH,May,0.31
1982,SH,May,0.27
1983,SH,May,0.63
1984,SH,May,0.42
1985,SH,May,0.2
1986,SH,May,0.23
1987,SH,May,0.29
1988,SH,May,0.45
1989,SH,May,0.12
1990,SH,May,0.41
1991,SH,May,0.35
1992,SH,May,0.44
1993,SH,May,0.25
1994,SH,May,0.17
1995,SH,May,0.13
1996,SH,May,0.2
1997,SH,May,0.26
1998,SH,May,0.7
1999,SH,May,0.16
2000,SH,May,0.17
2001,SH,May,0.46
2002,SH,May,0.77
2003,SH,May,0.5
2004,SH,May,0.22
2005,SH,May,0.49
2006,SH,May,0.19
2007,SH,May,0.65
2008,SH,May,0.38
2009,SH,May,0.64
2010,SH,May,0.58
2011,SH,May,0.4
2012,SH,May,0.59
2013,SH,May,0.44
2014,SH,May,0.82
2015,SH,May,0.56
2016,SH,May,0.79
2017,SH,May,0.9
2018,SH,May,0.63
2019,SH,May,0.72
2020,SH,May,0.76
2021,SH,May,0.53
2022,SH,May,0.66
2023,SH,May,NULL
1880,GLB,Jun,-0.21
1881,GLB,Jun,-0.18
1882,GLB,Jun,-0.22
1883,GLB,Jun,-0.07
1884,GLB,Jun,-0.35
1885,GLB,Jun,-0.43
1886,GLB,Jun,-0.34
1887,GLB,Jun,-0.24
1888,GLB,Jun,-0.17
1889,GLB,Jun,-0.1
1890,GLB,Jun,-0.24
1891,GLB,Jun,-0.2
1892,GLB,Jun,-0.22
1893,GLB,Jun,-0.25
1894,GLB,Jun,-0.4
1895,GLB,Jun,-0.21
1896,GLB,Jun,-0.11
1897,GLB,Jun,-0.11
1898,GLB,Jun,-0.19
1899,GLB,Jun,-0.31
1900,GLB,Jun,-0.09
1901,GLB,Jun,-0.11
1902,GLB,Jun,-0.29
1903,GLB,Jun,-0.41
1904,GLB,Jun,-0.48
1905,GLB,Jun,-0.28
1906,GLB,Jun,-0.19
1907,GLB,Jun,-0.41
1908,GLB,Jun,-0.38
1909,GLB,Jun,-0.52
1910,GLB,Jun,-0.38
1911,GLB,Jun,-0.5
1912,GLB,Jun,-0.24
1913,GLB,Jun,-0.45
1914,GLB,Jun,-0.25
1915,GLB,Jun,-0.22
1916,GLB,Jun,-0.49
1917,GLB,Jun,-0.44
1918,GLB,Jun,-0.36
1919,GLB,Jun,-0.36
1920,GLB,Jun,-0.36
1921,GLB,Jun,-0.27
1922,GLB,Jun,-0.31
1923,GLB,Jun,-0.29
1924,GLB,Jun,-0.26
1925,GLB,Jun,-0.32
1926,GLB,Jun,-0.26
1927,GLB,Jun,-0.27
1928,GLB,Jun,-0.39
1929,GLB,Jun,-0.43
1930,GLB,Jun,-0.22
1931,GLB,Jun,-0.08
1932,GLB,Jun,-0.28
1933,GLB,Jun,-0.34
1934,GLB,Jun,-0.15
1935,GLB,Jun,-0.27
1936,GLB,Jun,-0.21
1937,GLB,Jun,-0.05
1938,GLB,Jun,-0.17
1939,GLB,Jun,-0.07
1940,GLB,Jun,0.12
1941,GLB,Jun,0.13
1942,GLB,Jun,0.05
1943,GLB,Jun,-0.05
1944,GLB,Jun,0.15
1945,GLB,Jun,0.0
1946,GLB,Jun,-0.21
1947,GLB,Jun,-0.02
1948,GLB,Jun,-0.05
1949,GLB,Jun,-0.27
1950,GLB,Jun,-0.05
1951,GLB,Jun,-0.06
1952,GLB,Jun,-0.03
1953,GLB,Jun,0.12
1954,GLB,Jun,-0.18
1955,GLB,Jun,-0.14
1956,GLB,Jun,-0.16
1957,GLB,Jun,0.16
1958,GLB,Jun,-0.08
1959,GLB,Jun,0.03
1960,GLB,Jun,-0.04
1961,GLB,Jun,0.11
1962,GLB,Jun,0.03
1963,GLB,Jun,0.05
1964,GLB,Jun,-0.04
1965,GLB,Jun,-0.08
1966,GLB,Jun,0.01
1967,GLB,Jun,-0.08
1968,GLB,Jun,-0.09
1969,GLB,Jun,0.03
1970,GLB,Jun,-0.03
1971,GLB,Jun,-0.17
1972,GLB,Jun,0.04
1973,GLB,Jun,0.19
1974,GLB,Jun,-0.05
1975,GLB,Jun,-0.01
1976,GLB,Jun,-0.12
1977,GLB,Jun,0.27
1978,GLB,Jun,-0.01
1979,GLB,Jun,0.14
1980,GLB,Jun,0.2
1981,GLB,Jun,0.29
1982,GLB,Jun,0.05
1983,GLB,Jun,0.22
1984,GLB,Jun,0.02
1985,GLB,Jun,0.15
1986,GLB,Jun,0.12
1987,GLB,Jun,0.35
1988,GLB,Jun,0.4
1989,GLB,Jun,0.16
1990,GLB,Jun,0.37
1991,GLB,Jun,0.53
1992,GLB,Jun,0.26
1993,GLB,Jun,0.22
1994,GLB,Jun,0.44
1995,GLB,Jun,0.43
1996,GLB,Jun,0.25
1997,GLB,Jun,0.54
1998,GLB,Jun,0.77
1999,GLB,Jun,0.36
2000,GLB,Jun,0.4
2001,GLB,Jun,0.52
2002,GLB,Jun,0.53
2003,GLB,Jun,0.48
2004,GLB,Jun,0.44
2005,GLB,Jun,0.64
2006,GLB,Jun,0.66
2007,GLB,Jun,0.61
2008,GLB,Jun,0.49
2009,GLB,Jun,0.64
2010,GLB,Jun,0.68
2011,GLB,Jun,0.62
2012,GLB,Jun,0.64
2013,GLB,Jun,0.69
2014,GLB,Jun,0.67
2015,GLB,Jun,0.81
2016,GLB,Jun,0.8
2017,GLB,Jun,0.71
2018,GLB,Jun,0.77
2019,GLB,Jun,0.91
2020,GLB,Jun,0.92
2021,GLB,Jun,0.84
2022,GLB,Jun,0.92
2023,GLB,Jun,NULL
1880,NH,Jun,-0.16
1881,NH,Jun,-0.33
1882,NH,Jun,-0.29
1883,NH,Jun,-0.12
1884,NH,Jun,-0.41
1885,NH,Jun,-0.44
1886,NH,Jun,-0.37
1887,NH,Jun,-0.21
1888,NH,Jun,-0.03
1889,NH,Jun,-0.06
1890,NH,Jun,-0.16
1891,NH,Jun,-0.12
1892,NH,Jun,-0.06
1893,NH,Jun,-0.18
1894,NH,Jun,-0.4
1895,NH,Jun,-0.2
1896,NH,Jun,0.08
1897,NH,Jun,-0.06
1898,NH,Jun,-0.09
1899,NH,Jun,-0.35
1900,NH,Jun,-0.09
1901,NH,Jun,0.02
1902,NH,Jun,-0.35
1903,NH,Jun,-0.44
1904,NH,Jun,-0.48
1905,NH,Jun,-0.27
1906,NH,Jun,-0.11
1907,NH,Jun,-0.51
1908,NH,Jun,-0.31
1909,NH,Jun,-0.52
1910,NH,Jun,-0.44
1911,NH,Jun,-0.34
1912,NH,Jun,-0.14
1913,NH,Jun,-0.49
1914,NH,Jun,-0.23
1915,NH,Jun,-0.13
1916,NH,Jun,-0.51
1917,NH,Jun,-0.5
1918,NH,Jun,-0.46
1919,NH,Jun,-0.39
1920,NH,Jun,-0.26
1921,NH,Jun,-0.15
1922,NH,Jun,-0.16
1923,NH,Jun,-0.24
1924,NH,Jun,-0.19
1925,NH,Jun,-0.25
1926,NH,Jun,-0.2
1927,NH,Jun,-0.14
1928,NH,Jun,-0.32
1929,NH,Jun,-0.39
1930,NH,Jun,-0.11
1931,NH,Jun,0.15
1932,NH,Jun,-0.13
1933,NH,Jun,-0.31
1934,NH,Jun,-0.01
1935,NH,Jun,-0.15
1936,NH,Jun,0.04
1937,NH,Jun,0.14
1938,NH,Jun,-0.06
1939,NH,Jun,0.0
1940,NH,Jun,0.16
1941,NH,Jun,0.21
1942,NH,Jun,0.1
1943,NH,Jun,-0.07
1944,NH,Jun,0.17
1945,NH,Jun,0.08
1946,NH,Jun,-0.05
1947,NH,Jun,0.01
1948,NH,Jun,0.05
1949,NH,Jun,-0.19
1950,NH,Jun,-0.06
1951,NH,Jun,-0.02
1952,NH,Jun,0.16
1953,NH,Jun,0.25
1954,NH,Jun,-0.04
1955,NH,Jun,-0.1
1956,NH,Jun,-0.2
1957,NH,Jun,0.12
1958,NH,Jun,0.05
1959,NH,Jun,0.14
1960,NH,Jun,0.18
1961,NH,Jun,0.18
1962,NH,Jun,-0.13
1963,NH,Jun,-0.04
1964,NH,Jun,-0.09
1965,NH,Jun,-0.2
1966,NH,Jun,0.06
1967,NH,Jun,-0.06
1968,NH,Jun,-0.05
1969,NH,Jun,-0.04
1970,NH,Jun,0.02
1971,NH,Jun,-0.14
1972,NH,Jun,-0.1
1973,NH,Jun,0.16
1974,NH,Jun,-0.18
1975,NH,Jun,-0.08
1976,NH,Jun,-0.2
1977,NH,Jun,0.22
1978,NH,Jun,-0.14
1979,NH,Jun,0.07
1980,NH,Jun,0.18
1981,NH,Jun,0.27
1982,NH,Jun,0.01
1983,NH,Jun,0.1
1984,NH,Jun,0.09
1985,NH,Jun,0.0
1986,NH,Jun,0.14
1987,NH,Jun,0.16
1988,NH,Jun,0.4
1989,NH,Jun,0.24
1990,NH,Jun,0.47
1991,NH,Jun,0.47
1992,NH,Jun,0.04
1993,NH,Jun,0.22
1994,NH,Jun,0.41
1995,NH,Jun,0.5
1996,NH,Jun,0.25
1997,NH,Jun,0.49
1998,NH,Jun,0.73
1999,NH,Jun,0.35
2000,NH,Jun,0.44
2001,NH,Jun,0.51
2002,NH,Jun,0.68
2003,NH,Jun,0.55
2004,NH,Jun,0.47
2005,NH,Jun,0.79
2006,NH,Jun,0.81
2007,NH,Jun,0.65
2008,NH,Jun,0.61
2009,NH,Jun,0.68
2010,NH,Jun,0.85
2011,NH,Jun,0.76
2012,NH,Jun,0.94
2013,NH,Jun,0.77
2014,NH,Jun,0.81
2015,NH,Jun,1.05
2016,NH,Jun,1.11
2017,NH,Jun,0.92
2018,NH,Jun,0.86
2019,NH,Jun,1.19
2020,NH,Jun,1.13
2021,NH,Jun,1.2
2022,NH,Jun,1.12
2023,NH,Jun,NULL
1880,SH,Jun,-0.25
1881,SH,Jun,-0.05
1882,SH,Jun,-0.15
1883,SH,Jun,-0.02
1884,SH,Jun,-0.29
1885,SH,Jun,-0.42
1886,SH,Jun,-0.31
1887,SH,Jun,-0.27
1888,SH,Jun,-0.31
1889,SH,Jun,-0.12
1890,SH,Jun,-0.32
1891,SH,Jun,-0.28
1892,SH,Jun,-0.38
1893,SH,Jun,-0.32
1894,SH,Jun,-0.4
1895,SH,Jun,-0.21
1896,SH,Jun,-0.29
1897,SH,Jun,-0.16
1898,SH,Jun,-0.3
1899,SH,Jun,-0.27
1900,SH,Jun,-0.09
1901,SH,Jun,-0.24
1902,SH,Jun,-0.22
1903,SH,Jun,-0.39
1904,SH,Jun,-0.48
1905,SH,Jun,-0.27
1906,SH,Jun,-0.27
1907,SH,Jun,-0.32
1908,SH,Jun,-0.46
1909,SH,Jun,-0.51
1910,SH,Jun,-0.32
1911,SH,Jun,-0.66
1912,SH,Jun,-0.32
1913,SH,Jun,-0.4
1914,SH,Jun,-0.27
1915,SH,Jun,-0.29
1916,SH,Jun,-0.48
1917,SH,Jun,-0.39
1918,SH,Jun,-0.28
1919,SH,Jun,-0.32
1920,SH,Jun,-0.44
1921,SH,Jun,-0.38
1922,SH,Jun,-0.45
1923,SH,Jun,-0.34
1924,SH,Jun,-0.32
1925,SH,Jun,-0.38
1926,SH,Jun,-0.29
1927,SH,Jun,-0.4
1928,SH,Jun,-0.44
1929,SH,Jun,-0.47
1930,SH,Jun,-0.31
1931,SH,Jun,-0.29
1932,SH,Jun,-0.41
1933,SH,Jun,-0.36
1934,SH,Jun,-0.27
1935,SH,Jun,-0.38
1936,SH,Jun,-0.47
1937,SH,Jun,-0.23
1938,SH,Jun,-0.28
1939,SH,Jun,-0.13
1940,SH,Jun,0.07
1941,SH,Jun,0.08
1942,SH,Jun,0.0
1943,SH,Jun,-0.04
1944,SH,Jun,0.17
1945,SH,Jun,-0.06
1946,SH,Jun,-0.37
1947,SH,Jun,-0.03
1948,SH,Jun,-0.15
1949,SH,Jun,-0.34
1950,SH,Jun,-0.06
1951,SH,Jun,-0.11
1952,SH,Jun,-0.22
1953,SH,Jun,-0.01
1954,SH,Jun,-0.34
1955,SH,Jun,-0.19
1956,SH,Jun,-0.13
1957,SH,Jun,0.19
1958,SH,Jun,-0.2
1959,SH,Jun,-0.08
1960,SH,Jun,-0.26
1961,SH,Jun,0.05
1962,SH,Jun,0.19
1963,SH,Jun,0.13
1964,SH,Jun,0.01
1965,SH,Jun,0.04
1966,SH,Jun,-0.04
1967,SH,Jun,-0.1
1968,SH,Jun,-0.14
1969,SH,Jun,0.11
1970,SH,Jun,-0.06
1971,SH,Jun,-0.2
1972,SH,Jun,0.18
1973,SH,Jun,0.22
1974,SH,Jun,0.08
1975,SH,Jun,0.05
1976,SH,Jun,-0.05
1977,SH,Jun,0.31
1978,SH,Jun,0.11
1979,SH,Jun,0.2
1980,SH,Jun,0.23
1981,SH,Jun,0.3
1982,SH,Jun,0.11
1983,SH,Jun,0.35
1984,SH,Jun,-0.03
1985,SH,Jun,0.29
1986,SH,Jun,0.1
1987,SH,Jun,0.53
1988,SH,Jun,0.4
1989,SH,Jun,0.1
1990,SH,Jun,0.28
1991,SH,Jun,0.59
1992,SH,Jun,0.47
1993,SH,Jun,0.24
1994,SH,Jun,0.45
1995,SH,Jun,0.36
1996,SH,Jun,0.26
1997,SH,Jun,0.6
1998,SH,Jun,0.82
1999,SH,Jun,0.37
2000,SH,Jun,0.35
2001,SH,Jun,0.52
2002,SH,Jun,0.38
2003,SH,Jun,0.42
2004,SH,Jun,0.4
2005,SH,Jun,0.5
2006,SH,Jun,0.5
2007,SH,Jun,0.56
2008,SH,Jun,0.36
2009,SH,Jun,0.61
2010,SH,Jun,0.52
2011,SH,Jun,0.48
2012,SH,Jun,0.35
2013,SH,Jun,0.61
2014,SH,Jun,0.53
2015,SH,Jun,0.57
2016,SH,Jun,0.49
2017,SH,Jun,0.51
2018,SH,Jun,0.68
2019,SH,Jun,0.63
2020,SH,Jun,0.71
2021,SH,Jun,0.48
2022,SH,Jun,0.71
2023,SH,Jun,NULL
1880,GLB,Jul,-0.18
1881,GLB,Jul,0.01
1882,GLB,Jul,-0.16
1883,GLB,Jul,-0.07
1884,GLB,Jul,-0.3
1885,GLB,Jul,-0.33
1886,GLB,Jul,-0.17
1887,GLB,Jul,-0.26
1888,GLB,Jul,-0.1
1889,GLB,Jul,-0.07
1890,GLB,Jul,-0.27
1891,GLB,Jul,-0.17
1892,GLB,Jul,-0.31
1893,GLB,Jul,-0.14
1894,GLB,Jul,-0.23
1895,GLB,Jul,-0.16
1896,GLB,Jul,-0.02
1897,GLB,Jul,-0.02
1898,GLB,Jul,-0.23
1899,GLB,Jul,-0.16
1900,GLB,Jul,-0.13
1901,GLB,Jul,-0.14
1902,GLB,Jul,-0.27
1903,GLB,Jul,-0.34
1904,GLB,Jul,-0.51
1905,GLB,Jul,-0.26
1906,GLB,Jul,-0.23
1907,GLB,Jul,-0.35
1908,GLB,Jul,-0.35
1909,GLB,Jul,-0.45
1910,GLB,Jul,-0.34
1911,GLB,Jul,-0.41
1912,GLB,Jul,-0.42
1913,GLB,Jul,-0.36
1914,GLB,Jul,-0.23
1915,GLB,Jul,-0.12
1916,GLB,Jul,-0.37
1917,GLB,Jul,-0.25
1918,GLB,Jul,-0.31
1919,GLB,Jul,-0.29
1920,GLB,Jul,-0.3
1921,GLB,Jul,-0.14
1922,GLB,Jul,-0.27
1923,GLB,Jul,-0.3
1924,GLB,Jul,-0.29
1925,GLB,Jul,-0.26
1926,GLB,Jul,-0.27
1927,GLB,Jul,-0.18
1928,GLB,Jul,-0.19
1929,GLB,Jul,-0.36
1930,GLB,Jul,-0.21
1931,GLB,Jul,-0.03
1932,GLB,Jul,-0.24
1933,GLB,Jul,-0.21
1934,GLB,Jul,-0.1
1935,GLB,Jul,-0.21
1936,GLB,Jul,-0.09
1937,GLB,Jul,-0.03
1938,GLB,Jul,-0.09
1939,GLB,Jul,-0.06
1940,GLB,Jul,0.13
1941,GLB,Jul,0.22
1942,GLB,Jul,0.01
1943,GLB,Jul,0.09
1944,GLB,Jul,0.18
1945,GLB,Jul,0.03
1946,GLB,Jul,-0.12
1947,GLB,Jul,-0.04
1948,GLB,Jul,-0.11
1949,GLB,Jul,-0.13
1950,GLB,Jul,-0.08
1951,GLB,Jul,-0.01
1952,GLB,Jul,0.04
1953,GLB,Jul,0.01
1954,GLB,Jul,-0.19
1955,GLB,Jul,-0.11
1956,GLB,Jul,-0.09
1957,GLB,Jul,0.02
1958,GLB,Jul,0.05
1959,GLB,Jul,0.03
1960,GLB,Jul,-0.04
1961,GLB,Jul,0.01
1962,GLB,Jul,0.02
1963,GLB,Jul,0.06
1964,GLB,Jul,-0.04
1965,GLB,Jul,-0.13
1966,GLB,Jul,0.08
1967,GLB,Jul,0.02
1968,GLB,Jul,-0.13
1969,GLB,Jul,-0.04
1970,GLB,Jul,0.01
1971,GLB,Jul,-0.08
1972,GLB,Jul,0.01
1973,GLB,Jul,0.13
1974,GLB,Jul,-0.03
1975,GLB,Jul,-0.01
1976,GLB,Jul,-0.1
1977,GLB,Jul,0.2
1978,GLB,Jul,0.04
1979,GLB,Jul,0.04
1980,GLB,Jul,0.22
1981,GLB,Jul,0.32
1982,GLB,Jul,0.14
1983,GLB,Jul,0.18
1984,GLB,Jul,0.19
1985,GLB,Jul,0.04
1986,GLB,Jul,0.11
1987,GLB,Jul,0.4
1988,GLB,Jul,0.33
1989,GLB,Jul,0.34
1990,GLB,Jul,0.45
1991,GLB,Jul,0.47
1992,GLB,Jul,0.08
1993,GLB,Jul,0.25
1994,GLB,Jul,0.3
1995,GLB,Jul,0.45
1996,GLB,Jul,0.36
1997,GLB,Jul,0.34
1998,GLB,Jul,0.65
1999,GLB,Jul,0.38
2000,GLB,Jul,0.39
2001,GLB,Jul,0.59
2002,GLB,Jul,0.61
2003,GLB,Jul,0.58
2004,GLB,Jul,0.26
2005,GLB,Jul,0.61
2006,GLB,Jul,0.54
2007,GLB,Jul,0.6
2008,GLB,Jul,0.6
2009,GLB,Jul,0.73
2010,GLB,Jul,0.62
2011,GLB,Jul,0.7
2012,GLB,Jul,0.58
2013,GLB,Jul,0.6
2014,GLB,Jul,0.58
2015,GLB,Jul,0.72
2016,GLB,Jul,0.84
2017,GLB,Jul,0.81
2018,GLB,Jul,0.82
2019,GLB,Jul,0.94
2020,GLB,Jul,0.9
2021,GLB,Jul,0.92
2022,GLB,Jul,0.93
2023,GLB,Jul,NULL
1880,NH,Jul,-0.19
1881,NH,Jul,0.08
1882,NH,Jul,-0.28
1883,NH,Jul,-0.05
1884,NH,Jul,-0.41
1885,NH,Jul,-0.34
1886,NH,Jul,-0.14
1887,NH,Jul,-0.24
1888,NH,Jul,0.0
1889,NH,Jul,-0.08
1890,NH,Jul,-0.23
1891,NH,Jul,-0.12
1892,NH,Jul,-0.38
1893,NH,Jul,-0.14
1894,NH,Jul,-0.2
1895,NH,Jul,-0.18
1896,NH,Jul,0.01
1897,NH,Jul,0.05
1898,NH,Jul,-0.13
1899,NH,Jul,-0.16
1900,NH,Jul,-0.11
1901,NH,Jul,0.02
1902,NH,Jul,-0.32
1903,NH,Jul,-0.43
1904,NH,Jul,-0.59
1905,NH,Jul,-0.21
1906,NH,Jul,-0.26
1907,NH,Jul,-0.4
1908,NH,Jul,-0.36
1909,NH,Jul,-0.45
1910,NH,Jul,-0.38
1911,NH,Jul,-0.37
1912,NH,Jul,-0.52
1913,NH,Jul,-0.51
1914,NH,Jul,-0.34
1915,NH,Jul,-0.1
1916,NH,Jul,-0.34
1917,NH,Jul,-0.33
1918,NH,Jul,-0.34
1919,NH,Jul,-0.34
1920,NH,Jul,-0.25
1921,NH,Jul,-0.02
1922,NH,Jul,-0.28
1923,NH,Jul,-0.29
1924,NH,Jul,-0.22
1925,NH,Jul,-0.25
1926,NH,Jul,-0.19
1927,NH,Jul,-0.07
1928,NH,Jul,-0.1
1929,NH,Jul,-0.35
1930,NH,Jul,-0.03
1931,NH,Jul,0.08
1932,NH,Jul,-0.14
1933,NH,Jul,-0.13
1934,NH,Jul,-0.03
1935,NH,Jul,-0.04
1936,NH,Jul,0.09
1937,NH,Jul,0.15
1938,NH,Jul,-0.02
1939,NH,Jul,0.05
1940,NH,Jul,0.15
1941,NH,Jul,0.25
1942,NH,Jul,-0.01
1943,NH,Jul,-0.02
1944,NH,Jul,0.14
1945,NH,Jul,0.07
1946,NH,Jul,-0.04
1947,NH,Jul,-0.03
1948,NH,Jul,0.02
1949,NH,Jul,-0.11
1950,NH,Jul,-0.18
1951,NH,Jul,0.09
1952,NH,Jul,0.14
1953,NH,Jul,0.22
1954,NH,Jul,-0.11
1955,NH,Jul,-0.05
1956,NH,Jul,-0.19
1957,NH,Jul,0.11
1958,NH,Jul,0.05
1959,NH,Jul,0.05
1960,NH,Jul,0.08
1961,NH,Jul,0.06
1962,NH,Jul,0.1
1963,NH,Jul,0.1
1964,NH,Jul,-0.13
1965,NH,Jul,-0.18
1966,NH,Jul,0.1
1967,NH,Jul,0.04
1968,NH,Jul,-0.08
1969,NH,Jul,0.06
1970,NH,Jul,-0.04
1971,NH,Jul,-0.13
1972,NH,Jul,-0.05
1973,NH,Jul,0.04
1974,NH,Jul,-0.13
1975,NH,Jul,-0.06
1976,NH,Jul,-0.27
1977,NH,Jul,0.08
1978,NH,Jul,-0.08
1979,NH,Jul,0.05
1980,NH,Jul,0.13
1981,NH,Jul,0.09
1982,NH,Jul,0.04
1983,NH,Jul,0.2
1984,NH,Jul,0.08
1985,NH,Jul,-0.08
1986,NH,Jul,-0.02
1987,NH,Jul,0.25
1988,NH,Jul,0.42
1989,NH,Jul,0.32
1990,NH,Jul,0.33
1991,NH,Jul,0.42
1992,NH,Jul,-0.1
1993,NH,Jul,0.12
1994,NH,Jul,0.33
1995,NH,Jul,0.37
1996,NH,Jul,0.29
1997,NH,Jul,0.41
1998,NH,Jul,0.75
1999,NH,Jul,0.36
2000,NH,Jul,0.42
2001,NH,Jul,0.63
2002,NH,Jul,0.66
2003,NH,Jul,0.68
2004,NH,Jul,0.5
2005,NH,Jul,0.75
2006,NH,Jul,0.69
2007,NH,Jul,0.66
2008,NH,Jul,0.6
2009,NH,Jul,0.68
2010,NH,Jul,0.89
2011,NH,Jul,0.73
2012,NH,Jul,0.85
2013,NH,Jul,0.7
2014,NH,Jul,0.77
2015,NH,Jul,0.91
2016,NH,Jul,1.04
2017,NH,Jul,0.96
2018,NH,Jul,0.9
2019,NH,Jul,1.03
